COST_ID,STAT_MONTH,UNIT_CODE,UNIT_NAME,DEVICE_TYPE,DEVICE_CODE,HOLD_COST,SHORTAGE_COST,PRICE
1,,,,,34000574,,,1333.24
2,,,,,34000269,,,1333.24
3,,,,,34000575,,,1333.24
4,,,,,34000720,,,1316.8
5,,,,,34000613,,,1072.52
6,,,,,34000717,,,1087.33
7,,,,,34000380,,,1087.33
8,,,,,34000723,,,1087.33
9,,,,,34000547,,,1087.33
10,,,,,34000248,,,1087.33
11,,,,,34000719,,,1087.33
12,,,,,34000518,,,1087.33
13,,,,,34001335,,,770.82
14,,,,,34001337,,,622.37
15,,,,,34001340,,,609.45
16,,,,,34001339,,,605.27
17,,,,,34000718,,,506.6
18,,,,,34000745,,,506.6
19,,,,,34000311,,,506.6
20,,,,,34000214,,,494.09
21,,,,,34000313,,,481.58
22,,,,,34000767,,,481.58
23,,,,,34000209,,,448.26
24,,,,,34000213,,,447.28
25,,,,,34001333,,,584.34
26,,,,,34001334,,,455.05
27,,,,,34000202,,,395.85
28,,,,,34000203,,,332.28
29,,,,,34000233,,,343.34
30,,,,,34000669,,,343.27
31,,,,,34000200,,,343.25
32,,,,,34000608,,,343.01
33,,,,,34000535,,,331.06
34,,,,,34000199,,,328.07
35,,,,,34000644,,,326.2
36,,,,,34001336,,,387.45
37,,,,,34000205,,,295.97
38,,,,,34000671,,,295.97
39,,,,,34000198,,,295.73
40,,,,,34000204,,,295.73
41,,,,,34000508,,,295.73
42,,,,,34000207,,,305.19
43,,,,,34000211,,,305.19
44,,,,,34000614,,,297.74
45,,,,,34000267,,,297.6
46,,,,,34000565,,,295.36
47,,,,,34000201,,,295.26
48,,,,,34000609,,,295.19
49,,,,,34000253,,,290.21
50,,,,,34000569,,,290.09
51,,,,,34000803,,,220.36
52,,,,,34000195,,,202.21
53,,,,,34000194,,,168.13
54,,,,,34000196,,,171.31
55,,,,,34000472,,,168.76
56,,,,,34000596,,,130.97
57,,,,,34000715,,,120.2
58,,,,,34000193,,,122.45
59,,,,,34001217,,,105.35
60,,,,,34001081,,,94.77
61,,,,,34001308,,,93.0
62,,,,,34001078,,,92.47
63,,,,,34001077,,,84.18
64,,,,,34001299,,,82.59
65,,,,,34001298,,,82.43
66,,,,,34000802,,,71.72
67,,,,,34001214,,,71.5
68,,,,,34001074,,,71.33
69,,,,,34001212,,,71.26
70,,,,,34001075,,,69.54
71,,,,,34001073,,,68.26
72,,,,,34000801,,,43.6
